#C++,,size,,out,unsafe,modifier,size
int,int,4,,,,,
float,float,4,,,,,
double,double,8,,,,,
unsigned char,byte,1,,,,,
unsigned int,uint,4,,,,,
,,,,,,,
size_t,ulong,8,,,,,
,,,,,,,
TCHAR,byte,1,,,,,
BYTE,byte,1,,,,,
LONGLONG,long,8,,,,,
ULONGLONG,ulong,8,,,,,
WORD,ushort,2,,,,,
DWORD,uint,4,,,,,
BOOL,int,4,,,,,
const void*,System.IntPtr,8,,,,,
void*,uint,4,,,,,
int*,out int,4,,,,,
float*,out float,4,,,,,
double*,out double,4,,,,,
TOUCHINPUTDATA*,out TOUCHINPUTDATA,4,,,,,
TOUCHINPUTPOINT*,out TOUCHINPUTPOINT,4,,,,,
IPDATA*,out IPDATA,4,,,,,
IPDATA_IPv6*,out IPDATA_IPv6,4,,,,,
DINPUT_JOYSTATE*,out DINPUT_JOYSTATE,4,,,,,
XINPUT_STATE*,out XINPUT_STATE,4,,,,,
LONGLONG*,out long,8,,,,,
ULONGLONG*,out ulong,8,,,,,
,,,,,,,
DWORD_PTR,uint,4,,,,,
,,,,,,,
TCHAR*,System.Text.StringBuilder,8,,,,,
MATRIX_D*,out MATRIX_D,0,,,,,
MATRIX*,out MATRIX,0,,,,,
VECTOR_D*,out VECTOR_D,0,,,,,
VECTOR*,out VECTOR,0,,,,,
CUBEDATA*,out CUBEDATA,0,,,,,
COLORDATA*,out COLORDATA,0,,,,,
IMAGEFORMATDESC*,out IMAGEFORMATDESC,0,,,,,
SOUND3D_REVERB_PARAM*,out SOUND3D_REVERB_PARAM,0,,,,,
BYTE*,out byte,0,,,,,
,,,,,,,
,,,,,,,
const TCHAR*,string,4,,,,,
const TCHAR**,uint,4,,,,,
const char*,uint,4,,,,,
const MATRIX_D*,out MATRIX_D,0,,,,,
const MATRIX*,out MATRIX,0,,,,,
const IMEINPUTCLAUSEDATA*,uint,4,,,,,
const COLORDATA*,uint,4,,,,,
const IMAGEFORMATDESC*,out IMAGEFORMATDESC,0,,,,,
MV1_COLL_RESULT_POLY*,uint,4,,,,,
,,,,,,,
const INT4*,out INT4,,,,,,
const int*,out int,,,,,,
const MATRIX*,out MATRIX,4,,,,,
const MATRIX_D*,out MATRIX_D,8,,,,,
const FLOAT4*,out FLOAT4,,,,,,
const float*,out float,,,,,,
const double*,out double,8,,,,,
const BOOL*,out int,,,,,,
const unsigned short*,out ushort,8,,,,,
const VECTOR*,out VECTOR,8,,,,,
const VECTOR_D*,out VECTOR_D,8,,,,,
,,,,,,,
DX_CHAR*,out byte,8,,,,,
RECT*,out RECT,0,,,,,
VECTOR*,out VECTOR,8,,,,,
TRIANGLE_POINT_RESULT_D*,out TRIANGLE_POINT_RESULT_D,8,,,,,
TRIANGLE_POINT_RESULT*,out TRIANGLE_POINT_RESULT,8,,,,,
SEGMENT_TRIANGLE_RESULT*,out SEGMENT_TRIANGLE_RESULT,8,,,,,
SEGMENT_TRIANGLE_RESULT_D*,out SEGMENT_TRIANGLE_RESULT_D,8,,,,,
SEGMENT_SEGMENT_RESULT*,out SEGMENT_SEGMENT_RESULT,8,,,,,
SEGMENT_SEGMENT_RESULT_D*,out SEGMENT_SEGMENT_RESULT_D,8,,,,,
PLANE_POINT_RESULT*,out PLANE_POINT_RESULT,8,,,,,
PLANE_POINT_RESULT_D*,out PLANE_POINT_RESULT_D,8,,,,,
SEGMENT_POINT_RESULT*,out SEGMENT_POINT_RESULT,8,,,,,
SEGMENT_POINT_RESULT_D*,out SEGMENT_POINT_RESULT_D,8,,,,,
VERTEX2DSHADER*,out VERTEX2DSHADER,8,,,,,
VERTEX3DSHADER*,out VERTEX3DSHADER,8,,,,,
const VERTEX*,out VERTEX,0,,,,,
const VERTEX2D*,out VERTEX2D,0,,,,,
const VERTEX3D*,out VERTEX3D,0,,,,,
const VERTEX_3D*,out VERTEX_3D,0,,,,,
const RECT*,out RECT,0,,,,,
const POINTDATA*,out POINTDATA,0,,,,,
const LINEDATA*,out LINEDATA,0,,,,,
const VERTEX2DSHADER*,out VERTEX2DSHADER,,,,,,
const VERTEX3DSHADER*,out VERTEX3DSHADER,,,,,,
const SOUND3D_REVERB_PARAM*,out SOUND3D_REVERB_PARAM,0,,,,,
,,,,,,,
HWND,System.IntPtr,8,,,,,
HRGN,System.IntPtr,8,,,,,
HICON,System.IntPtr,8,,,,,
,,,,,,,
VECTOR,null,12,,,,,
RECT,null,16,,,,,
VECTOR_D,null,24,,,,,
COLOR_U8,null,4,,,,,
COLOR_F,null,16,,,,,
FLOAT4,null,16,,,,,
IPDATA,null,4,,,,,
IPDATA_IPv6,null,16,,,,,
MATRIX,null,8,,,,,
MATRIX_D,null,32,,,,,
INT4,null,16,,,,,
MV1_COLL_RESULT_POLY_DIM,null,0,,,,,
MATERIALPARAM,null,0,,,,,
,,,,,,,
DATEDATA*,out DATEDATA,8,,,,,
,,,,,,,
COLORDATA,null,1064,,,,,
